Company,Valuation ($B),Date Joined,Country,City,Industry,Number of Investors,Investor1_Accel,Investor1_Alibaba Group,Investor1_Andreessen Horowitz,Investor1_Atomico,Investor1_Battery Ventures,Investor1_Benchmark,Investor1_Bessemer Venture Partners,Investor1_Blackrock,Investor1_Blackstone,Investor1_Caffeinated Capital,Investor1_Coatue Management,Investor1_Crv,Investor1_Dst Global,Investor1_Firstmark Capital,Investor1_Foundation Capital,Investor1_Founders Fund,Investor1_General Atlantic,Investor1_General Catalyst,Investor1_Ggv Capital,Investor1_Global Founders Capital,Investor1_Goldman Sachs,Investor1_Google Ventures,Investor1_Greycroft,Investor1_Greylock Partners,Investor1_Hillhouse Capital Management,Investor1_Iconiq Capital,Investor1_Idg Capital,Investor1_Index Ventures,Investor1_Insight Partners,Investor1_Institutional Venture Partners,Investor1_Kaszek Ventures,Investor1_Khosla Ventures,Investor1_Kkr,Investor1_Kleiner Perkins Caufield & Byers,Investor1_Lightspeed Venture Partners,Investor1_M12,Investor1_Matrix Partners,Investor1_Matrix Partners China,Investor1_Menlo Ventures,Investor1_New Enterprise Associates,Investor1_Nexus Venture Partners,Investor1_Northzone Ventures,Investor1_Norwest Venture Partners,Investor1_Otros,Investor1_Qiming Venture Partners,Investor1_Qualcomm Ventures,Investor1_Redpoint Ventures,Investor1_Ribbit Capital,Investor1_Salesforce Ventures,Investor1_Scale Venture Partners,Investor1_Sequoia Capital,Investor1_Sequoia Capital China,Investor1_Sequoia Capital India,Investor1_Shunwei Capital Partners,Investor1_Softbank Group,Investor1_Spark Capital,Investor1_Summit Partners,Investor1_T. Rowe Price,Investor1_Technology Crossover Ventures,Investor1_Tencent,Investor1_Tencent Holdings,Investor1_Thrive Capital,Investor1_Tiger Global Management,Investor1_Union Square Ventures,Investor1_Venrock,Investor1_Warburg Pincus,Investor1_Y Combinator,Investor2_Accel,Investor2_Alibaba Group,Investor2_Andreessen Horowitz,Investor2_Atomico,Investor2_Bain Capital Ventures,Investor2_Battery Ventures,Investor2_Benchmark,Investor2_Bessemer Venture Partners,Investor2_Blackrock,Investor2_Blackstone,Investor2_Caffeinated Capital,Investor2_Capitalg,Investor2_Coatue Management,Investor2_Crv,Investor2_Dcm Ventures,Investor2_Dst Global,Investor2_Firstmark Capital,Investor2_Foundation Capital,Investor2_Founders Fund,Investor2_General Atlantic,Investor2_General Catalyst,Investor2_Ggv Capital,Investor2_Global Founders Capital,Investor2_Goldman Sachs,Investor2_Google Ventures,Investor2_Greycroft,Investor2_Greylock Partners,Investor2_Hillhouse Capital Management,Investor2_Iconiq Capital,Investor2_Idg Capital,Investor2_Index Ventures,Investor2_Insight Partners,Investor2_Institutional Venture Partners,Investor2_Khosla Ventures,Investor2_Kkr,Investor2_Kleiner Perkins Caufield & Byers,Investor2_Lightspeed Venture Partners,Investor2_M12,Investor2_Matrix Partners,Investor2_Matrix Partners China,Investor2_Menlo Ventures,Investor2_New Enterprise Associates,Investor2_Nexus Venture Partners,Investor2_No Investor,Investor2_Northzone Ventures,Investor2_Norwest Venture Partners,Investor2_Otros,Investor2_Qiming Venture Partners,Investor2_Qualcomm Ventures,Investor2_Redpoint Ventures,Investor2_Ribbit Capital,Investor2_Salesforce Ventures,Investor2_Scale Venture Partners,Investor2_Sequoia Capital,Investor2_Sequoia Capital China,Investor2_Sequoia Capital India,Investor2_Shunwei Capital Partners,Investor2_Softbank Group,Investor2_Spark Capital,Investor2_Summit Partners,Investor2_T. Rowe Price,Investor2_Technology Crossover Ventures,Investor2_Tencent Holdings,Investor2_Thrive Capital,Investor2_Tiger Global Management,Investor2_Venrock,Investor2_Warburg Pincus,Investor2_Y Combinator,Investor2_Zhenfund,Investor3_Accel,Investor3_Alibaba Group,Investor3_Andreessen Horowitz,Investor3_Atomico,Investor3_Bain Capital Ventures,Investor3_Battery Ventures,Investor3_Benchmark,Investor3_Bessemer Venture Partners,Investor3_Blackrock,Investor3_Capitalg,Investor3_Coatue Management,Investor3_Crv,Investor3_Dcm Ventures,Investor3_Dst Global,Investor3_Firstmark Capital,Investor3_Foundation Capital,Investor3_Founders Fund,Investor3_General Atlantic,Investor3_General Catalyst,Investor3_Ggv Capital,Investor3_Global Founders Capital,Investor3_Goldman Sachs,Investor3_Google Ventures,Investor3_Greycroft,Investor3_Greylock Partners,Investor3_Hillhouse Capital Management,Investor3_Iconiq Capital,Investor3_Idg Capital,Investor3_Index Ventures,Investor3_Insight Partners,Investor3_Institutional Venture Partners,Investor3_Kaszek Ventures,Investor3_Khosla Ventures,Investor3_Kkr,Investor3_Kleiner Perkins Caufield & Byers,Investor3_Lightspeed Venture Partners,Investor3_M12,Investor3_Matrix Partners,Investor3_Matrix Partners China,Investor3_Menlo Ventures,Investor3_New Enterprise Associates,Investor3_Nexus Venture Partners,Investor3_No Investor,Investor3_Northzone Ventures,Investor3_Norwest Venture Partners,Investor3_Otros,Investor3_Qiming Venture Partners,Investor3_Qualcomm Ventures,Investor3_Redpoint Ventures,Investor3_Ribbit Capital,Investor3_Salesforce Ventures,Investor3_Scale Venture Partners,Investor3_Sequoia Capital,Investor3_Sequoia Capital China,Investor3_Sequoia Capital India,Investor3_Shunwei Capital Partners,Investor3_Softbank Group,Investor3_Spark Capital,Investor3_Summit Partners,Investor3_T. Rowe Price,Investor3_Technology Crossover Ventures,Investor3_Tencent,Investor3_Tencent Holdings,Investor3_Thrive Capital,Investor3_Tiger Global Management,Investor3_Union Square Ventures,Investor3_Venrock,Investor3_Warburg Pincus,Investor3_Y Combinator,Investor3_Zhenfund
Gelato,1.0,2021-08-16,Norway,Oslo,Ecommerce & Directtoconsumer,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Maven Clinic,1.0,2021-08-17,United States,New York,Health,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Zetwerk,1.33,2021-08-20,India,Bengaluru,Internet Software & Services,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dunamu,1.0,2021-07-22,South Korea,Seoul,Fintech,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Shield Ai,1.0,2021-08-24,United States,San Diego,Artificial Intelligence,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Picsart,1.0,2021-08-26,United States,San Francisco,Mobile & Telecommunications,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1Kmxc,1.0,2021-08-30,China,Hangzhou,Hardware,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cider,1.0,2021-09-02,Hong Kong,Hong Kong,Ecommerce & Directtoconsumer,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Berlin Brands Group,1.0,2021-09-01,Germany,Berlin,Ecommerce & Directtoconsumer,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Agile Robots,1.0,2021-09-09,Germany,Munich,Hardware,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Grubmarket,1.2,2021-09-14,United States,San Francisco,Ecommerce & Directtoconsumer,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
